City,SCHOOL_CODE,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,Place Id,Place Id Filter,h_place_id,h_name,h_category,h_col,h_word
PRATAPGARH (RAJ.),8330205601,2015-16,GPS HATIYA DUNGRI,PEEPALKHOOT,"GUPS,BAVDI",BAVDI,Rajasthan,327029,,,,,,,
PRATAPGARH (RAJ.),8331412103,2015-16,G.P.S LAKHIYA,ARNOD,"GUPS,BADWASKALA",BADVSKLA,Rajasthan,312615,,,,,,,
GANGANAGAR,8010822001,2015-16,"GOVT.PRIMARY.SCH, ",SURATGARH,GUPS PURANI BAREKA,40 STG,Rajasthan,335804,,ChIJGW9jQlVyFjkRP599aqSkFoU,,,,,
GANGANAGAR,8010822802,2015-16,"GOVT.PRIMARY.SCH, RUPANIYA DER (TAKHARAWALI)",SURATGARH,GUPS PURANI BAREKA,TAKHRAN WALI,Rajasthan,335804,,,,,,,
GANGANAGAR,8010822803,2015-16,"GOVT.PRIMARY.SCH, TAKHARAWALI",SURATGARH,GUPS PURANI BAREKA,TAKHRAN WALI,Rajasthan,335804,,,,,,,
GANGANAGAR,8010822907,2015-16,"GOVT.UPPER.PRIMARY.SCH, RAMDEVMANDIR",SURATGARH,GUPS KISHANPURA NEW ABADI,KISHANPURA,Rajasthan,335804,,,,,,,
GANGANAGAR,8010797403,2015-16,PVT (SATYANARYAN ) RSNR,RAISINGHNAGAR,"GOVT.SEN.SEC.SCH, RAISINGHNAGAR",NP RAISINGHNAGAR_WORD 22,Rajasthan,335051,,,,,,,
UDAIPUR,8260315103,2015-16,VIDHY NIKAITAN FATEHNAGER PS,MAVLI,G.U.P.S.(VASNIMAFI),NP_FATEH_SAN WARD NO. 20,Rajasthan,313205,,,,,,,
UDAIPUR,8260315201,2015-16,G.S.SEC.S.FATEHANAGAR,MAVLI,G.U.P.S.(VASNIMAFI),NP_FATEH_SAN WARD NO. 19,Rajasthan,313205,,,,,,,
UDAIPUR,8260315401,2015-16,G.P.S.SANJAY BASTI,MAVLI,G.U.P.S.(VASNIMAFI),NP_FATEH_SAN WARD NO. 17,Rajasthan,313205,,,,,,,
UDAIPUR,8260817609,2015-16,G.P.S.GUDA,KHERWARA,G.U.P.S.(PALIYA),LARATHI,Rajasthan,313803,,,,,,,
UDAIPUR,8260817610,2015-16,G.S.SEC.S.,KHERWARA,G.U.P.S.(PALIYA),LARATHI,Rajasthan,313803,,,,,,,
